aX,aY,aZ,gX,gY,gZ
-0.012,-0.503,0.164,-35.000,-128.100,-86.730
0.027,-0.460,0.093,-34.230,-115.220,-89.810
0.075,-0.402,0.105,-33.460,-100.450,-90.440
0.146,-0.351,0.128,-34.020,-91.350,-72.170
0.183,-0.275,0.130,-31.220,-82.460,-81.550
0.217,-0.305,0.148,-26.040,-68.460,-76.790
0.250,-0.410,0.237,-25.060,-60.970,-80.990
0.260,-0.506,0.318,-32.830,-58.520,-89.950
0.296,-0.470,0.288,-41.020,-51.170,-94.080
0.318,-0.383,0.264,-44.940,-40.670,-90.300
0.323,-0.445,0.314,-48.020,-30.450,-94.080
0.319,-0.494,0.416,-51.870,-24.220,-100.870
0.306,-0.472,0.525,-50.470,-18.900,-104.300
0.295,-0.460,0.625,-41.650,-19.530,-110.110
0.281,-0.499,0.716,-37.590,-24.780,-120.540
0.278,-0.442,0.708,-34.930,-30.800,-127.260
0.312,-0.318,0.652,-31.920,-29.750,-125.930
0.337,-0.244,0.659,-25.200,-28.420,-122.080
0.328,-0.267,0.689,-21.280,-31.430,-123.690
0.325,-0.260,0.592,-17.570,-31.640,-123.690
0.319,-0.254,0.524,-11.060,-23.450,-122.570
0.312,-0.306,0.584,-3.010,-17.920,-128.310
0.297,-0.300,0.680,1.820,-19.460,-134.260
0.283,-0.217,0.709,6.860,-25.060,-136.220
0.277,-0.122,0.661,13.580,-26.600,-131.740
0.278,-0.134,0.637,28.140,-26.040,-127.610

-0.474,1.392,0.806,75.040,175.350,-63.350
-0.498,1.501,0.862,82.530,167.580,-57.120
-0.550,1.594,0.933,67.480,151.970,-51.590
-0.564,1.677,0.900,52.640,142.380,-46.340
-0.531,1.759,0.897,43.960,127.470,-33.740
-0.459,1.793,0.748,23.940,118.020,-24.290
-0.481,1.811,0.607,12.180,119.840,-12.110
-0.507,1.782,0.618,-5.320,116.550,-0.630
-0.523,1.686,0.588,-16.310,109.270,6.790
-0.545,1.611,0.490,-28.070,102.830,13.650
-0.605,1.523,0.344,-31.220,103.950,21.070
-0.630,1.417,0.253,-40.250,104.720,25.480
-0.640,1.295,-0.025,-53.340,119.280,26.390
-0.689,1.202,-0.203,-53.480,153.300,24.850
-0.699,1.250,-0.073,-50.680,185.360,24.570
-0.717,1.365,0.161,-56.000,208.670,30.730
-0.759,1.475,0.582,-49.560,224.350,43.400
-0.756,1.467,0.961,-38.780,213.220,53.340
-0.727,1.406,1.123,-31.920,188.720,64.680
-0.679,1.352,1.059,-40.320,171.570,71.470
-0.642,1.259,0.922,-47.250,164.570,77.000
-0.601,1.175,0.918,-59.990,154.070,80.010
-0.609,1.126,0.759,-67.620,152.880,85.260
-0.626,1.047,0.662,-66.500,159.670,90.090
-0.657,1.028,0.724,-66.220,161.490,91.840
-0.690,1.048,0.766,-61.810,161.280,97.650
-0.701,1.015,0.733,-59.080,167.370,101.990
-0.712,0.999,0.849,-36.610,165.830,108.570
-0.713,0.978,0.975,-56.350,153.300,110.460
-0.712,0.960,0.889,-74.830,145.250,110.040
-0.733,1.025,0.723,-88.760,154.140,116.830
-0.756,1.059,0.774,-91.000,159.180,126.420
-0.795,1.008,0.874,-77.280,158.900,138.390
-0.830,0.951,0.947,-53.130,158.200,146.860
-0.849,0.862,1.050,-23.310,155.050,151.340
-0.868,0.723,1.211,-89.320,142.660,145.250
-0.888,0.460,1.129,-93.590,139.930,124.250
-0.848,0.590,1.195,-110.810,134.050,110.320
